Column1,name,W_L_pct,W_L_pct/games,team,position,game_%,games,AB,R,H,doubles,triples,HR,RBI,walks,strike_outs,stolen_bases,caught_stealing_base,AVG,OBP,SLG,OPS
355," Devers, R",0.667,0.4982,BOS,3B,0.747,121,450,59,108,24,0,21,66,38,121,5,2,0.24,0.298,0.433,0.731
393," Bradley Jr., J",0.667,0.5929,BOS,CF,0.889,144,474,76,111,33,4,13,59,46,137,17,1,0.234,0.314,0.403,0.717
420," Swihart, B",0.667,0.3376,BOS,C,0.506,82,192,28,44,10,0,3,18,15,57,6,1,0.229,0.285,0.328,0.613
454," Travis, S",0.667,0.0782,BOS,1B,0.117,19,36,5,8,3,0,1,7,2,10,0,0,0.222,0.263,0.389,0.652
506," Vazquez, C",0.667,0.3294,BOS,C,0.494,80,251,24,52,10,0,3,16,13,41,4,1,0.207,0.257,0.283,0.54
600," Leon, S",0.667,0.3664,BOS,C,0.549,89,265,30,47,12,0,5,22,15,75,1,0,0.177,0.232,0.279,0.511
616," Butler, D",0.667,0.0082,BOS,C,0.012,2,6,0,1,0,0,0,1,0,2,0,0,0.167,0.143,0.167,0.31
677," Phillips, B",0.667,0.0371,BOS,2B,0.056,9,23,4,3,0,0,1,2,4,7,0,0,0.13,0.259,0.261,0.52
698," Eovaldi, N",0.667,0.0247,BOS,P,0.037,6,9,2,1,0,0,0,1,1,7,0,0,0.111,0.2,0.111,0.311
728," Pedroia, D",0.667,0.0124,BOS,2B,0.019,3,11,1,1,0,0,0,0,2,1,0,0,0.091,0.231,0.091,0.322
848," Hembree, H",0.667,0.0247,BOS,P,0.037,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
931," Rodriguez, E",0.667,0.0041,BOS,P,0.006,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
939," Sale, C",0.667,0.0041,BOS,P,0.006,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
968," Velazquez, H",0.667,0.0124,BOS,P,0.019,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002," Barnes, M",0.667,0.0165,BOS,P,0.025,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019," Brasier, R",0.667,0.0124,BOS,P,0.019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048," Cuevas, W",0.667,0.0082,BOS,P,0.012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
